checkpoint,episode_index,first_success_step,success_steps,success_reentry_count,final_success,success_lost_after_first_success,classification
last_model,16,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,17,31,170,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,18,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,19,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,20,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,21,32,12,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,22,25,93,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,23,21,180,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,24,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,25,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,26,20,181,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,27,31,170,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,28,105,96,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,29,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,31,35,48,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,33,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,34,46,155,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,35,24,11,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,36,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,37,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,38,21,180,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,39,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,41,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,42,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,43,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,44,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,45,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,46,32,169,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,47,29,172,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,48,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,49,29,98,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,50,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,51,27,29,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,52,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,53,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,54,31,170,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,56,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,58,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,59,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,60,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,61,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,62,25,40,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,63,30,171,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,64,21,151,2,True,False,SUCCESS_THEN_REGRASP
last_model,65,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,66,20,181,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,67,29,172,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,68,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,70,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,71,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,72,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,73,29,172,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,74,29,172,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,76,23,21,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,77,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,78,19,182,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,79,23,178,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,80,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,81,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,82,23,19,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,83,26,175,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,84,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,85,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,86,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,87,33,168,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,88,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,89,30,138,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,90,25,125,0,False,True,SUCCESS_LOST_PERMANENTLY_OR_UNOBSERVED_REENTRY
last_model,92,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,93,29,172,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,94,24,177,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,95,21,180,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,96,28,173,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,97,27,174,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,98,25,176,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
last_model,99,22,179,0,True,False,SUCCESS_MAINTAINED_TO_HORIZON
